"","log.GAS.","DEP","log.CON.","REN","log.GDP.","log.OIL.","MAR","EUEA","EUEFTA","EUEU","V11"
"s40",0.0283060450957572,0,-0.00692526529774757,-0.000967772288231916,0.0238509543425002,0.0648500553018318,-0.000165140407593904,0.0267660209881172,0.0298496069624944,0.0167223798881295,0.000673976931271172
"s41",0.0283624742372578,0,-0.0073321766515047,-0.000974750022064349,0.0238114523115165,0.0653054010481175,-0.000166201882874611,0.0281945485822116,0.031932649978178,0.018219339230569,0.00061410267830851
"s42",0.0284142106620017,0,-0.0077023831252369,-0.000981173884531581,0.0237792319763087,0.0657138196690945,-0.000167184430164322,0.0294754933447049,0.0338108943642545,0.0195656225490997,0.000559547488953967
"s43",0.0283353907265026,1.95659782443729e-06,-0.00808040406649417,-0.000983945681699666,0.0237935417783197,0.0661281726940593,-0.000168791600122876,0.0306460262288293,0.0364328176490256,0.0208420458912467,0.000509838832256973
"s44",0.0282352855762445,4.76071159275497e-06,-0.00842569090551135,-0.000987677734374738,0.0238358926440359,0.0664632072924929,-0.000170712607845065,0.0315478807750932,0.0392608965679673,0.0218923378661417,0.000464546155614216
"s45",0.0281511307258679,7.11159610244482e-06,-0.00873795804135569,-0.000990487065223511,0.0238588113593618,0.0667920819831508,-0.000172332525177678,0.0324534542345234,0.0417887792652858,0.0229147948788305,0.000423277155528979
"s46",0.0280724540156425,9.23219800332292e-06,-0.00902388392763955,-0.000992988593732063,0.0238849694195437,0.0670865982862107,-0.000173818746220383,0.0332593922354306,0.0440555336818334,0.0238293306501974,0.000385674379665925
"s47",0.028000740448411,1.11604263068361e-05,-0.00928439072403633,-0.000995266678055844,0.0239097469090703,0.0673536238310473,-0.000175175093834638,0.0339893802739019,0.0461137628053707,0.0246587717334254,0.000351412130769984
"s48",0.027936386544394,1.29375105810111e-05,-0.00952121388851775,-0.000997364884799151,0.0239268906821399,0.0676036312041006,-0.000176398410095035,0.0346775612061896,0.0480273912577359,0.0254348813988357,0.000320193645632538
"s49",0.027877479038641,1.45324931623622e-05,-0.00973706064400887,-0.000999254161162103,0.0239472522209115,0.0678250846583549,-0.000177522151783419,0.0352835858392828,0.0497328411792667,0.0261232971141524,0.000291748524670488
"s50",0.0278239999931195,1.60095408910165e-05,-0.00993372370064412,-0.00100099627749192,0.023961207441908,0.0680330911647439,-0.000178537257592774,0.0358563182649883,0.0513240651998695,0.0267688812181171,0.000265830389854423
"s51",0.0277756950996836,1.7355150830545e-05,-0.0101126514189128,-0.00100258437595,0.0239730327627939,0.0682235204277358,-0.000179459096280411,0.036381606137155,0.0527777332827813,0.0273600485809954,0.000242214750699997
"s52",0.0277316647872427,1.85561058662617e-05,-0.010275553000259,-0.00100401311703834,0.0239885491198949,0.0683904061147323,-0.000180308098353024,0.0368386079946498,0.0540631624603948,0.0278794108486498,0.000220697059838758
"s53",0.0276910926669947,1.96750636504877e-05,-0.0104244127275771,-0.00100533055927591,0.0239989472345666,0.0685480945659935,-0.000181075848616777,0.0372728231635303,0.0552688156509721,0.0283686470150311,0.000201090941326691
"s54",0.0276551105325573,2.06664107924614e-05,-0.0105592314187561,-0.00100651893967171,0.0240121285087639,0.068685668297134,-0.000181780377818027,0.0376497504415991,0.0563302185054705,0.0287975286117929,0.000183226576344962
"s55",0.0276212399979396,2.15970040460031e-05,-0.0106829549669535,-0.00100761167944093,0.0240207082013398,0.0688168410770057,-0.000182417969254803,0.0380108532780038,0.0573326824586531,0.0292042725932691,0.000166949232310545
"s56",0.027592131622107,2.24132896812414e-05,-0.010794322911488,-0.00100860098608169,0.0240318523247325,0.0689300373447824,-0.000183002023406278,0.0383214026762775,0.0582076724599764,0.0295580887256392,0.000152117922656622
"s57",0.0275637768830171,2.31871278589318e-05,-0.0108972124298476,-0.0010095058690539,0.0240389987397894,0.0690391463818427,-0.000183531658221138,0.0386215786304692,0.059040912425138,0.0298961396886599,0.00013860418567438
"s58",0.0275405581108744,2.38568791178972e-05,-0.0109889684259971,-0.00101033065981577,0.0240484540890944,0.0691319145881286,-0.00018401554505746,0.0388766251479996,0.0597600878795707,0.0301872550162654,0.000126290971839153
"s59",0.0275167511702535,2.44999051333233e-05,-0.0110745828325141,-0.0010110784059593,0.0240545142937432,0.0692226022893773,-0.000184455660770759,0.0391258323927586,0.0604519667992414,0.0304679248818219,0.000115071629983437
"s60",0.0274986541016938,2.50461427865855e-05,-0.0111498612901813,-0.00101176708139582,0.0240625872521802,0.0692981479229212,-0.000184856229592719,0.0393341981718065,0.061040118771753,0.0307063999832079,0.000104848983535495
"s61",0.0274786415853026,2.55792799009025e-05,-0.0112211208223128,-0.0010123833901093,0.0240678694337692,0.0693733662291285,-0.000185222013326983,0.0395405267863638,0.0616132439814091,0.0309389108536192,9.55344888223864e-05
"s62",0.0274605538602978,2.60733073667518e-05,-0.0112859860539262,-0.00101295432011603,0.0240711683676425,0.0694438415279712,-0.000185552636790652,0.0397350610049135,0.0621478509904663,0.0311566183527144,8.70474681470321e-05
"s63",0.027444372300024,2.65248026801576e-05,-0.0113448932672392,-0.00101347853444033,0.0240734922269493,0.0695087241658618,-0.000185852072443614,0.0399148583746362,0.0626388018626746,0.0313572066733039,7.93144109965972e-05
"s64",0.0274335036314308,2.68917195287908e-05,-0.0113955567281042,-0.00101396087041472,0.0240784887911175,0.069560024347221,-0.000186124751801596,0.040057826546981,0.0630386740733813,0.0315206894292444,7.22683373295978e-05
"s65",0.027419813230935,2.72565203676659e-05,-0.0114446192981836,-0.00101438271414893,0.0240821076038939,0.069611868307919,-0.000186375803806503,0.0402001224393588,0.0634321763931184,0.0316809436113532,6.58482174268256e-05
"s66",0.0274069846516255,2.75991071528659e-05,-0.0114896120526028,-0.00101477247252515,0.0240843070005661,0.0696609371844782,-0.000186603673509833,0.0403353675283193,0.0638028860185241,0.0318320639059628,5.9998443281117e-05
"s67",0.0274002776188867,2.78639894700607e-05,-0.0115266557355989,-0.00101514475813034,0.0240881949404897,0.0696980639046443,-0.000186808411241475,0.0404396110713858,0.0640944565966902,0.0319519250689572,5.46683469473981e-05
"s68",0.027390221926011,2.81343372103026e-05,-0.0115635758405404,-0.00101546308669612,0.0240912226888993,0.0697366464254586,-0.000186997477390635,0.0405455094343364,0.064387052120607,0.0320715010450262,4.9811761681185e-05
"s69",0.0273973460637706,2.82449750232707e-05,-0.0115813670594835,-0.00101587993169143,0.0240939282167914,0.0697548162942121,-0.00018715979684056,0.0405983802735179,0.064536761632014,0.03213736863359,4.53866220643289e-05
