"","log.GAS.","DEP","log.CON.","REN","log.GDP.","log.OIL.","MAR","EUEA","EUEFTA","EUEU","V11"
"s48",0.0553483821139758,1.23475369427934e-05,0.00968786745902581,-0.000391787390514374,0.0286327489012675,0.0678375766664925,-0.000205725694513064,0.0210138981932519,0.00614468690302491,-0.0113984408820716,2.06540598209904
"s49",0.0593240758059908,1.3518901880417e-05,0.0102535294966788,-0.000431498468819626,0.030761342657165,0.0729601811270956,-0.000222941337164448,0.0225252659705069,0.00647008214692181,-0.0119556130980597,1.88192100730984
"s50",0.0634775987712301,1.47742196164213e-05,0.0108219316733702,-0.000474958711500343,0.0330002856594754,0.0783585193681259,-0.000241344368958553,0.0241070549346887,0.00680606265993576,-0.0124934454036231,1.71473633196064
"s51",0.0678015063768809,1.6113064543449e-05,0.0113879399040585,-0.000522436809737683,0.0353489107714657,0.0840320457209242,-0.000260972934887397,0.0257577231208229,0.0071551293730983,-0.0130033641853801,1.562403882376
"s52",0.0722860143155618,1.75335511411471e-05,0.0119457432496289,-0.000574201678987482,0.0378057134104106,0.0899780868948093,-0.000281858604502932,0.0274752088243931,0.00752085052362098,-0.0134760057169416,1.4236042277546
"s53",0.0769189256179753,1.90321503547856e-05,0.0124888611123797,-0.000630518419944974,0.0403683213320472,0.0961917259114409,-0.000304024917418273,0.0292569729361291,0.00790805686171516,-0.0139012871941672,1.29713515189093
"s54",0.0816856060780756,2.06035384843669e-05,0.0130101662831218,-0.000691643735130641,0.0430334805743979,0.102665726401237,-0.000327485879293257,0.03110006435678,0.00832303325017801,-0.0142685024660932,1.18190124015363
"s55",0.0865690143410319,2.22404935401261e-05,0.0135019252612973,-0.000757820846247551,0.0457970589554305,0.109390503672729,-0.000352244453461887,0.0330012087889195,0.00877369690795693,-0.0145664408871977,1.07690439152801
"s56",0.0915497913772461,2.39338543200499e-05,0.0139558568780322,-0.000829273980243271,0.0486540678417174,0.116354147619487,-0.000378291103107845,0.0349569199612289,0.00926975144554084,-0.014783526214001,0.981235173542551
"s57",0.0966064121224472,2.56725567011784e-05,0.0143632097861263,-0.000906202514730661,0.0515987021338861,0.12354250070832,-0.000405602447111626,0.0369636309766715,0.00982280529788159,-0.0149079710015372,0.894064945199957
"s58",0.10171539977897,2.74437596455812e-05,0.0147148588520809,-0.000988774895213883,0.0546243975949802,0.130939292054347,-0.000434140098377744,0.0390178420787916,0.0104464433258163,-0.0149279406703473,0.81463867968522
"s59",0.106851600751569,2.92330701204677e-05,0.01500141990464,-0.00107712245663473,0.0577239038327119,0.138526326039945,-0.000463849755678838,0.0411162798053221,0.0111562413298799,-0.014831720466059,0.742268424684582
"s60",0.11198851556138,3.10248715368705e-05,0.0152133816718445,-0.00117133329940145,0.060889370491594,0.146283721230514,-0.000494660618099262,0.0432560613592621,0.0119697150348656,-0.0146078780618166,0.676327343671706
"s61",0.117098678489383,3.28027545546102e-05,0.0153412530825199,-0.0012714463846914,0.0641124435701111,0.15419019267804,-0.000526485184592647,0.0454348571882731,0.0129061977124425,-0.0142454146634866,0.616244286549574
"s62",0.122154076300177,3.45500424386955e-05,0.0153757234261727,-0.00137744602494205,0.0673843682999448,0.162223368307019,-0.000559219489898609,0.0476510443273183,0.0139866438801127,-0.0137338982149855,0.561498842621584
"s63",0.127126594343394,3.62503959688846e-05,0.015307832167277,-0.00148925695269626,0.0706960947488239,0.170360128172377,-0.000592743812348889,0.0499038431087882,0.0152333602391803,-0.0130635736358236,0.511616833043068
"s64",0.131988476771491,3.7888475714009e-05,0.0151291445116194,-0.00160674015410932,0.0740383822649606,0.178576954162628,-0.000626923869496311,0.0521934304247542,0.0166696689314386,-0.0122254468391246,0.466166203710991
"s65",0.136712786678745,3.94506329181495e-05,0.0148319281501164,-0.00172968965230288,0.077401899085681,0.186850277328899,-0.000661612494858321,0.0545210238306236,0.0183195120256535,-0.0112113413808624,0.424753283018004
"s66",0.141289099640283,4.08767250843899e-05,0.0144248633152658,-0.00185778063427775,0.0807718603595954,0.195152990238877,-0.000696675763992478,0.0568888177359818,0.0201920374010295,-0.0100149216607436,0.38701937205732
"s67",0.145665435443995,4.22411823636839e-05,0.0138750067721432,-0.00199077859664055,0.0841474827254921,0.203469744955595,-0.000731913475469216,0.0593016448157239,0.0223370948686705,-0.00862797746179381,0.352637637744387
"s68",0.149832437733841,4.35026035563632e-05,0.0131897871394349,-0.00212821676915789,0.087515950714638,0.211775573244506,-0.00076716884733147,0.0617635591369945,0.0247663286310388,-0.00704552353915229,0.321310281945071
"s69",0.153770348736244,4.46603343810985e-05,0.0123657744637552,-0.00226961582260349,0.0908682915571166,0.220049943468619,-0.000802268479877767,0.0642804190949375,0.0275017753464488,-0.00526261395063677,0.292765962090683
"s70",0.157462044907029,4.57182257575254e-05,0.0114009071198378,-0.00241443304983301,0.0941958069273192,0.228273626696233,-0.000837039510786992,0.066859071510887,0.0305638636065871,-0.00327503018410091,0.266757440938462
"s71",0.160893248983235,4.66848082864403e-05,0.0102945599289676,-0.00256206792313656,0.0974901140498815,0.236428820141748,-0.000871312648066761,0.0695072191653794,0.0339710083810803,-0.00107924098372755,0.243059445120864
"s72",0.164052682777449,4.75732623754591e-05,0.00904758759898053,-0.00271186925533485,0.100743174039369,0.244499218893392,-0.00090492510451275,0.0722332563989141,0.0377392453374245,0.00132762858623023,0.221466713935417
"s73",0.166932154274982,4.84011863509019e-05,0.00766233676864674,-0.00286314400719058,0.103947309724957,0.252470041722548,-0.000937723318651651,0.0750460792467497,0.0418819215278979,0.00394781400893935,0.201792221474719
"s74",0.169526579762065,4.91901698256454e-05,0.006142625413639,-0.00301516760276095,0.107095215169976,0.260328017645455,-0.00096956537171729,0.0779548760002555,0.0464094510808304,0.00678291057471827,0.183865556697503
"s75",0.171856864716746,4.98524215953601e-05,0.00452592205533529,-0.00316711357238755,0.110157829294403,0.268062827880733,-0.00100043953387724,0.0809891932844856,0.0512999407454058,0.00983743591853782,0.167531447409721
"s76",0.173879294451391,5.06202464615689e-05,0.00275890366690476,-0.00331842302583632,0.113167064350036,0.275664497104604,-0.00103002825184291,0.0841270345111526,0.0566158596315639,0.0131078867253245,0.152648415371085
"s77",0.175618669836674,5.1430987550482e-05,0.000876776501861782,-0.00346824820504798,0.116099701124905,0.283123263868499,-0.00105832539711384,0.0873904845768298,0.0623313773003338,0.0165954163566495,0.139087550878231
"s78",0.177081224449305,5.23161073606571e-05,-0.0011118386435227,-0.00361586062344183,0.118950091347217,0.290431354347386,-0.00108525063647083,0.0907877513079134,0.0684448477612652,0.0202989461121943,0.126731396210543
"s79",0.178275687380245,5.3306784400052e-05,-0.00319730822507543,-0.00376056317643607,0.121712964146157,0.297582055867436,-0.00111074099284614,0.0943261163703551,0.0749513713757552,0.0242164515434936,0.115472928267567
"s80",0.179236220021571,5.43213068032552e-05,-0.00533622850869771,-0.00390162173168146,0.124354864575866,0.304577013812065,-0.00113487241142941,0.0980509875726037,0.0818273556730335,0.0283597378264698,0.105214631586119
